"kaptCode","kaptName","kaptAddr","kaptDongCnt","kaptdaCnt","codeAptNm","doroJuso","hoCnt","kaptUsedate","kaptMparea_60","kaptMparea_85","kaptMparea_135","kaptMparea_136","bjdCode","kaptdPcnt","kaptdPcntu","subwayLine","num_Hospital","isPark","num_Elm_sch","num_Mid_sch","num_Hi_sch","Subway_new5~10분이내","Subway_new10~15분이내","Subway_new15분초과","Bus_new5~10분이내","Bus_new10분초과","codeHallNm계단식","codeHallNm복도식","codeHallNm타워형","codeHallNm혼합식","kaptBcompanyGS건설(주)","kaptBcompanySK에코플랜트(주)","kaptBcompany경남기업","kaptBcompany그외시공사","kaptBcompany대림산업(주)","kaptBcompany대우건설(주)","kaptBcompany동부건설","kaptBcompany라이프주택","kaptBcompany롯데건설(주)","kaptBcompany삼성","kaptBcompany삼성물산(주)","kaptBcompany삼성중공업","kaptBcompany삼익건설","kaptBcompany신동아","kaptBcompany신동아건설","kaptBcompany쌍용건설(주)","kaptBcompany우성건설(주)","kaptBcompany주택공사","kaptBcompany진흥기업(주)","kaptBcompany컨소시엄시공","kaptBcompany태영건설","kaptBcompany포스코건설(주)","kaptBcompany한신공영(주)","kaptBcompany한양주택(주)","kaptBcompany현대건설(주)","kaptBcompany현대산업개발(주)"
"A13508002","역삼경남","서울특별시 강남구 역삼동 722 역삼경남",1,164,"주상복합","서울특별시 강남구 언주로85길 13",164,20020501,0,164,0,0,1168010100,0,228,"2호선, 분당선",1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A13508003","대우디오빌플러스","서울특별시 강남구 역삼동 824-25 대우디오빌플러스",1,168,"아파트","서울특별시 강남구 강남대로84길 33",168,20040525,168,0,0,0,1168010100,13,276,"2호선, 신분당선",1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A13508004","역삼동부센트레빌","서울특별시 강남구 역삼동 716 역삼동부센트레빌",1,206,"아파트","서울특별시 강남구 선릉로 423",206,19980421,103,103,0,0,1168010100,48,160,"2호선",1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A13508005","역삼한스빌아파트","서울특별시 강남구 역삼동 836 역삼한스빌아파트",1,216,"아파트","서울특별시 강남구 도곡로3길 26",216,19961126,216,0,0,0,1168010100,10,156,"2호선, 3호선",1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A13508006","역삼래미안펜타빌","서울특별시 강남구 역삼동 713-7 역삼래미안펜타빌",5,288,"아파트","서울특별시 강남구 역삼로 309",288,20071130,0,0,0,288,1168010100,0,665,"2호선, 분당선",2,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A13508009","역삼아이파크","서울특별시 강남구 역삼동 713-11 역삼아이파크",7,541,"아파트","서울특별시 강남구 역삼로 307",541,20060928,178,0,240,123,1168010100,0,914,"2호선, 분당선",1,0,2,4,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"A13508010","역삼쌍용플래티넘밸류","서울특별시 강남구 역삼동 826-37 역삼쌍용플래티넘밸류",3,166,"주상복합","서울특별시 강남구 테헤란로4길 46",166,20070119,0,110,56,0,1168010100,0,238,"2호선, 신분당선",1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A13508011","래미안그레이튼","서울특별시 강남구 역삼동 762-3 래미안그레이튼",5,464,"아파트","서울특별시 강남구 도곡로43길 21",464,20100604,94,188,182,0,1168010100,0,626,"경의중앙선",1,0,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A13508012","테헤란 IPARK","서울특별시 강남구 역삼동 709 테헤란 IPARK",6,411,"아파트","서울특별시 강남구 테헤란로52길 16",411,20140124,17,184,210,0,1168010100,0,588,"2호선",1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"A13509001","삼성현대","서울특별시 강남구 삼성동 6 삼성현대",1,198,"아파트","서울특별시 강남구 학동로64길 14",198,19990416,89,60,49,0,1168010500,30,245,"7호선",1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"A13509003","삼성풍림아파트1차","서울특별시 강남구 삼성동 106 삼성풍림아파트1차",1,252,"아파트","서울특별시 강남구 영동대로112길 15",252,19980727,123,75,54,0,1168010500,61,220,"7호선, 9호선",1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A13509004","삼성한솔","서울특별시 강남구 삼성동 4-6 삼성한솔",2,263,"아파트","서울특별시 강남구 학동로64길 7",263,19981116,114,89,60,0,1168010500,31,272,"7호선",1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A13509005","삼성래미안2차","서울특별시 강남구 삼성동 7-3 삼성래미안2차",8,275,"아파트","서울특별시 강남구 선릉로130길 20",275,20070525,0,46,196,33,1168010500,0,484,"7호선, 분당선",1,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A13509006","삼성서광","서울특별시 강남구 삼성동 2 삼성서광",2,304,"아파트","서울특별시 강남구 선릉로130길 19",304,19981106,152,152,0,0,1168010500,38,259,"7호선, 신분당선",1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A13509007","삼성롯데","서울특별시 강남구 삼성동 17 삼성롯데",3,339,"아파트","서울특별시 강남구 학동로 432",339,20000415,99,84,156,0,1168010500,100,400,"7호선",1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A13509009","아이파크삼성동","서울특별시 강남구 삼성동 87 아이파크삼성동",3,449,"아파트","서울특별시 강남구 영동대로 640",449,20040318,0,0,0,449,1168010500,0,1247,"7호선, 9호선",1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"A13509010","삼성롯데캐슬프레미어","서울특별시 강남구 삼성동 11 삼성롯데캐슬프레미어",11,713,"아파트","서울특별시 강남구 선릉로126길 22",713,20070326,0,158,415,140,1168010500,10,1368,"7호선, 분당선",1,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A13509012","삼성힐스테이트1단지","서울특별시 강남구 삼성동 16-2 삼성힐스테이트1단지",17,1144,"아파트","서울특별시 강남구 학동로68길 29",1144,20081210,230,744,170,0,1168010500,0,1514,"7호선, 9호선",1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"A13509101","삼성청구타운","서울특별시 강남구 삼성동 78-4 삼성청구타운",3,167,"아파트","서울특별시 강남구 영동대로128길 5",167,19900818,0,167,0,0,1168010500,104,61,"7호선, 9호선",1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
