kaptCode,kaptName,kaptAddr,kaptDongCnt,kaptdaCnt,kaptAcompany,kaptBcompany,codeAptNm,doroJuso,hoCnt,codeHallNm,kaptUsedate,kaptMparea_60,kaptMparea_85,kaptMparea_135,kaptMparea_136,bjdCode
A10026924,대치SK VIEW,서울특별시 강남구 대치동 1029 대치SK VIEW,4,239,대치국제아파트주택재건축정비사업조합,에스케이건설(주),아파트,서울특별시 강남구 삼성로51길 25,239,계단식,20170620,4,104,131,0,1168010600
A13528001,대치대우아이빌4차,서울특별시 강남구 대치동 891-23 대치대우아이빌4차,1,210,"맘모스산업개발,k2Enc",대우건설,주상복합,서울특별시 강남구 선릉로90길 56,210,복도식,20040223,210,0,0,0,1168010600
A13528103,대치동부센트레빌,서울특별시 강남구 대치동 670 대치동부센트레빌,7,805,대치주공고층아파트재건축조합,동부건설,아파트,서울특별시 강남구 선릉로 206,805,계단식,20050128,0,0,198,607,1168010600
A10024102,대치르엘,서울특별시 강남구 대치동 977 대치르엘,6,273,대치제2지구재건축조합,롯데건설,아파트,서울특별시 강남구 도곡로93길 23,273,계단식,20210917,107,164,2,0,1168010600
A13528004,대치미도맨션,서울특별시 강남구 대치동 511 대치미도맨션,21,2436,한보주택(주),한보주택(주),아파트,서울특별시 강남구 삼성로 150,2436,혼합식,19831128,0,616,1344,476,1168010600
A13528003,대치삼성,서울특별시 강남구 대치동 1014-3 대치삼성,14,960,삼성물산,삼성물산,아파트,서울특별시 강남구 도곡로78길 22,960,혼합식,20000731,249,192,519,0,1168010600
A13583604,대치선경,서울특별시 강남구 대치동 506 대치선경,12,1034,선경건설,선경건설,아파트,서울특별시 강남구 삼성로 151,1034,계단식,19831212,0,260,348,426,1168010600
A13583402,대치쌍용2차,서울특별시 강남구 대치동 65 대치쌍용2차,4,364,쌍용건설,쌍용건설,아파트,서울특별시 강남구 영동대로 220,364,계단식,19831130,0,140,224,0,1168010600
A13528102,대치아이파크,서울특별시 강남구 대치동 888 대치아이파크,11,768,대치도곡제2아파트재건축조합,현대산업개발,아파트,서울특별시 강남구 선릉로 222,768,계단식,20080603,150,238,236,144,1168010600
A13583403,대치우성1차아파트,서울특별시 강남구 대치동 63 대치우성1차아파트,6,476,(주)우성건설,(주)우성건설,아파트,서울특별시 강남구 영동대로 230,476,계단식,19840127,0,224,252,0,1168010600
A13584101,대치포스코더샵,서울특별시 강남구 대치동 902 대치포스코더샵,4,276,동아1차재건축조합,포스코건설,아파트,서울특별시 강남구 삼성로 417,276,계단식,20040930,0,0,0,276,1168010600
A13583701,대치현대,서울특별시 강남구 대치동 974 대치현대,8,630,신해청재건축조합,현대건설(주),아파트,서울특별시 강남구 삼성로64길 5,630,혼합식,19990614,286,203,141,0,1168010600
A10027800,래미안 대치 팰리스,서울특별시 강남구 대치동 633 래미안 대치 팰리스,17,1608,청실아파트 재건축조합,삼성물산,아파트,서울특별시 강남구 삼성로57길 37-3,1608,계단식,20150922,54,447,1011,96,1168010600
A13528007,래미안대치하이스턴,서울특별시 강남구 대치동 985 래미안대치하이스턴,5,354,우성2차리모델링주택조합,삼성물산주식회사,아파트,서울특별시 강남구 도곡로93길 12,357,계단식,19891206,0,0,354,0,1168010600
A13583404,쌍용대치1차,서울특별시 강남구 대치동 66 쌍용대치1차,5,630,쌍용건설,쌍용건설,아파트,서울특별시 강남구 영동대로 210,630,계단식,19830307,0,270,240,120,1168010600
A13583507,은마,서울특별시 강남구 대치동 316 은마,28,4424,한보,한보,아파트,서울특별시 강남구 삼성로 212,4424,복도식,19790830,0,4424,0,0,1168010600
A13528005,테헤란로대우아이빌,서울특별시 강남구 대치동 891-6 테헤란로대우아이빌,1,372,프리즘(주),대우건설,주상복합,서울특별시 강남구 테헤란로 428,372,복도식,20040429,344,28,0,0,1168010600
A10024501,논현 기린힐스,서울특별시 강남구 논현동 130-9 논현 기린힐스,1,249,기린건축,대림건설,아파트,서울특별시 강남구 논현로 661,249,복도식,20201030,249,0,0,0,1168010800
A13583301,논현동부센트레빌,서울특별시 강남구 논현동 275 논현동부센트레빌,4,160,양지아파트재건축조합,동부건설,아파트,서울특별시 강남구 언주로116길 6,160,계단식,20031224,0,76,84,0,1168010800
A13582002,논현동현,서울특별시 강남구 논현동 105 논현동현,6,548,동산토건(주),동산토건(주),아파트,서울특별시 강남구 언주로146길 18,549,계단식,19850803,0,380,120,48,1168010800
A13501004,논현신동아,서울특별시 강남구 논현동 22 논현신동아,6,644,논현동공무원아파트재건축조합,신동아건설,아파트,서울특별시 강남구 강남대로146길 28,644,혼합식,19970704,273,219,152,0,1168010800
A13501001,동양파라곤,서울특별시 강남구 논현동 245 동양파라곤,4,203,동양고속건설주식회사,동양고속건설주식회사,아파트,서울특별시 강남구 언주로130길 30,203,계단식,20040602,0,0,0,203,1168010800
A13572601,동화히스토리,서울특별시 강남구 논현동 122-8 동화히스토리,1,236,동화상가(주),한신공영개발(주),주상복합,서울특별시 강남구 학동로4길 15,236,복도식,20120817,236,0,0,0,1168010800
A13501002,마일스디오빌,서울특별시 강남구 논현동 58-2 마일스디오빌,1,260,대우건설,대우건설,주상복합,서울특별시 강남구 학동로 165,260,복도식,20041126,260,0,0,0,1168010800
A13501006,아크로힐스논현,서울특별시 강남구 논현동 276 아크로힐스논현,4,368,경복아파트주택재건축정비사업조합,대림산업(주),아파트,서울특별시 강남구 언주로 604,368,타워형,20141208,34,222,112,0,1168010800
A13511101,"압구정 현대(10,13,14차)","서울특별시 강남구 압구정동 436 압구정 현대(10,13,14차)",10,766,현대산업개발,현대산업개발,아파트,서울특별시 강남구 압구정로29길 69,766,혼합식,19820614,0,389,329,48,1168011000
A13511001,압구정미성1차,서울특별시 강남구 압구정동 414 압구정미성1차,3,322,라이프,라이프주택,아파트,서울특별시 강남구 압구정로11길 17,322,혼합식,19821118,0,1,125,196,1168011000
A13511003,압구정미성2차,서울특별시 강남구 압구정동 397 압구정미성2차,9,911,라이프주택,라이프주택,아파트,서울특별시 강남구 압구정로 113,911,혼합식,19871205,0,459,180,272,1168011000
A13511004,압구정신현대,서울특별시 강남구 압구정동 426 압구정신현대,27,1924,한국도시개발공사(주),한국도시개발공사(주),아파트,서울특별시 강남구 압구정로 151,1924,혼합식,19820525,0,1,871,1052,1168011000
A13590602,압구정한양3단지,서울특별시 강남구 압구정동 513 압구정한양3단지,6,582,한양주택,한양주택,아파트,서울특별시 강남구 압구정로 401,582,혼합식,19791113,0,4,428,150,1168011000
A13551103,압구정한양아파트제1단지,서울특별시 강남구 압구정동 490 압구정한양아파트제1단지,15,1232,(주)한양주택,(주)한양주택,아파트,서울특별시 강남구 압구정로 347,1232,복도식,19771226,194,598,145,295,1168011000
A13590204,압구정한양아파트제2단지,서울특별시 강남구 압구정동 484 압구정한양아파트제2단지,11,825,한양주택,(주)한양주택,아파트,서울특별시 강남구 압구정로 313,825,혼합식,19781130,0,1,544,280,1168011000
A13511201,압구정현대8차,서울특별시 강남구 압구정동 481 압구정현대8차,5,515,현대건설,도시개발,아파트,서울특별시 강남구 압구정로 309,515,혼합식,19800915,0,0,371,144,1168011000
A13589802,압구정현대아파트,서울특별시 강남구 압구정동 369-1 압구정현대아파트,41,3130,현대건설 현대산업개발,현대건설,아파트,서울특별시 강남구 압구정로29길 71,3130,혼합식,19760607,0,656,387,2087,1168011000
A13519005,강남데시앙파크,서울특별시 강남구 세곡동 525 강남데시앙파크,15,546,SH공사,태영건설,아파트,서울특별시 강남구 헌릉로590길 63,546,계단식,20111101,44,243,259,0,1168011100
A13519001,강남신동아파밀리에1단지,서울특별시 강남구 세곡동 508 강남신동아파밀리에1단지,6,395,sh공사,신동아,아파트,서울특별시 강남구 헌릉로590길 100,395,혼합식,20110223,395,0,0,0,1168011100
A13519002,강남신동아파밀리에2단지,서울특별시 강남구 세곡동 511 강남신동아파밀리에2단지,7,410,sh 공사,신동아건설,아파트,서울특별시 강남구 헌릉로590길 10,410,혼합식,20110223,275,135,0,0,1168011100
A13519007,강남엘에이치1단지,서울특별시 강남구 세곡동 579 강남엘에이치1단지,12,809,한국토지주택공사,고려개발(주),아파트,서울특별시 강남구 헌릉로571길 20,809,계단식,20130612,324,485,0,0,1168011100
A10027558,강남효성해링턴코트,서울특별시 강남구 세곡동 541 강남효성해링턴코트,11,199,(주)대륜테라스빌피에프브이,555071,연립주택,서울특별시 강남구 자곡로7길 36-1,199,계단식,20160428,0,0,199,0,1168011100
A13519003,세곡리엔파크3단지,서울특별시 강남구 세곡동 516 세곡리엔파크3단지,7,363,서울시 SH공사,신동아건설,아파트,서울특별시 강남구 헌릉로590길 11,363,혼합식,20110223,247,116,0,0,1168011100
A13519004,세곡리엔파크4단지,서울특별시 강남구 세곡동 522 세곡리엔파크4단지,8,407,SH공사,태영건설,아파트,서울특별시 강남구 헌릉로590길 88,407,혼합식,20110616,323,84,0,0,1168011100
A13519006,세곡푸르지오,서울특별시 강남구 세곡동 533 세곡푸르지오,16,912,LH강남지역본부,"대우건설,대림산업,태영건설",아파트,서울특별시 강남구 자곡로 21,912,계단식,20120831,167,745,0,0,1168011100
A13519008,LH강남3단지,서울특별시 강남구 자곡동 621 LH강남3단지,15,1065,한국토지주택공사,(주)풍림,아파트,서울특별시 강남구 자곡로3길 22,1065,복도식,20131113,1065,0,0,0,1168011200
